Post,Language,Author,Date,reply-to
"Καλησπερα παιδια ειμαστε μια παρεα απο ολοκληρη την ελλαδα και προσφατα αρχησαμε να παιζουμε στο Warmane εχουμε φτιαξει ενα ελληνικο Guild με σκοπο να κανουμε raids και PvP events. Ειστε ολοι ευπροσδεκτοι να μπειτε στην παρεα μας και να παιζουμε ολοι μαζι. Εγω ειμαι ο z0gra και κανω livestreams καθημερινα. 
Αυτα ειναι τα λινκς απο τα livestreams.

https://trovo.live/s/Z0GRA/213283010
https://www.twitch.tv/z0gra

Αυτο ειναι το λινκ απο το discord server

https://discord.gg/csJ5HgycMs",Greek/Greeklish,Zogra,2022-09-02 00:00:00,450632
se poio realm eiste kai alliance h Horde?,Greek/Greeklish,stam114,2022-09-24 00:00:00,450632
"Originally Posted by stam114

se poio realm eiste kai alliance h Horde?


??????? ??? Frostmourne realm ??? ??????? Horde, ??? ????? ??? season 4 ??? Frostmourne ?? ???????????? ???? Icecrown ???? ??? ?? ????????????? ??? Guild. ??? ???????????? ??????????? ???????? ?? ?????? ??? discord server .

https://discord.gg/csJ5HgycMs",Greek/Greeklish,Zogra,2022-11-10 00:00:00,450632
"Originally Posted by stam114

se poio realm eiste kai alliance h Horde?


eimaste sto Frostmourne Realm kai eimaste Horde, sto telos tou season 4 tha mas metaferei ston Icecrown opou tha xsanaftiaxoume thn guild, gia opoiadipote ali pliroforia mporeite na episkeyteite to discord server. 

https://discord.gg/csJ5HgycMs",Greek/Greeklish,Zogra,2022-11-10 00:00:00,450632
Το ονομα μου στο παιχνιδι ειναι Nariaran αν υπαρχει καποιο Alliance Ελληνικο guild στο Icecrown realm θα ηθελα να συμμετεχω.,Greek/Greeklish,MikrosHrws,2022-09-18 00:00:00,450999
+1 ψάχνω και εγώ. ingame name inflane,Greek/Greeklish,aimon,2022-09-21 00:00:00,450999
psaxno guild ellliniko (H) kai international den tha me peiraze. Priest 80aris freskos.,Greek/Greeklish,Apaleytos,2022-06-04 00:00:00,447848
Psaxn atoma na pexoume parea eimaste  peripou 4-5 atoma pareitsa kaname ena guildaki kai psaxnoume kai alla pedia na pexoume parea opoios goustarei kai 8elei as mou stilei ena wisper ingame  name : Afflictedkid ( Horde ),Greek/Greeklish,Vasilismagos,2021-10-20 00:00:00,440585
pano sto Lorderon?,Greek/Greeklish,sparx666,2022-06-02 00:00:00,440585
Mipos eiste sto frostmourne?,Greek/Greeklish,Apaleytos,2022-06-04 00:00:00,440585
Kalhspera. Edw kai kati meres apofasisa na paiksw ston icecrown kai psaxnw pareoula. Kanena ellhniko guild gia fun. Paizw mage horde,Greek/Greeklish,Antonmmeister,2022-05-30 00:00:00,447657
"Γεια σας σε όλους σας!!

Server: Frostmourne / Horde

Ελληνικό Guild, Χαρούμενη και ευχάριστη παρέα. 
Όποιος ενδιαφέρεται ας έρθει να κάνουμε ένα ευχάριστο παιχνίδι 

Dungeon - Raid - PVP 

Άτομα που μπορείτε να μιλήσετε για να σας βάλουν είναι Stugia, Ntipmualo, Iokasth, Rekles, Tsimpouka
ή add discord https://discord.gg/GJxGbmx

Σας περιμένουμε να περνάτε καλά!!",Greek/Greeklish,crystallenia898,2020-07-17 00:00:00,423611
"Ε μεις αυξανόμαστε και θα αρχίσουμε να στήνουμε την ομάδα και για το raid μας οποίος ενδιαφέρεται μπορεί να έρθει ακόμα!!
Καλό παιχνίδι!!",Greek/Greeklish,crystallenia898,2020-07-26 00:00:00,423611
tha pexete season 3 gt endiaferome na mpo,Greek/Greeklish,kleezboi,2022-04-15 00:00:00,423611
"opios exei elliniko guild as mou stili mail sto game gia na mpoume ego kai ali 3 fili mou 
name: marcosdemarc",Greek/Greeklish,MarcosDeMarc,2021-11-27 00:00:00,441511
"Vrikate tpt; Psaxnw kai egw, Druid tank/healer",Greek/Greeklish,Nurasama,2022-01-17 00:00:00,441511
ama brite tpt anebasteto na er8w kai egw exw 10 paixtes teza kai ach kai ola,Greek/Greeklish,zizicop1,2022-03-05 00:00:00,441511
"Η <Iceclowns Citadel> ψάχνει άτομα για end game HC raids.

Μέχρι στιγμής τρέχουμε 2x ICC25hc Progress runs, 1x ICC25 alt run, 3-4 RS25n ανά εβδομάδα. 

Ψάχνουμε άτομα για να εμπλουτίσουμε το roaster μας είτε αυτά είναι Main chars είτε Alt chars και να επεκταθούμε σε RS25hc και TOGC25 Progress.

Current ICC25hc Progress -> 8/12

Raid Time -> 21:30 Ώρα Ελλάδος 

Loot System -> EP/GP

Για περισσότερες πληροφορίες επισκεφτείτε τον Discord Server μας. --> https://discord.gg/zmyxshhTH6",Greek/Greeklish,Bornskilled,2021-12-22 00:00:00,442203
psaxno ellhniko guild kai genikos atoma gia parea,Greek/Greeklish,tzitzifrikos123,2021-10-27 00:00:00,440722
lordaeron /icc pou paizeis ? horde / alliance?,Greek/Greeklish,tikoitas,2021-10-28 00:00:00,440722
"kalhspera paies
eimai me ena filo kai molis ksekinhsame kai psaxnoume pareitsa",Greek/Greeklish,mourlos,2021-11-06 00:00:00,440722
"emeis paizoume icecrown alliance an 8elete, eimaste 5-6 atoma, kainourious xarakthres",Greek/Greeklish,Gealaich,2021-11-09 00:00:00,440722
<Essence> einai Ellhniko End Game Guild.Psaxnoume gia end game paixtes me 6.2+ gear kai alts.Progress:Icc 25 Hc 12/12-Rs 25 Hc 1/1-Togc 25 50/50.(Horde side).Raid time:20.00 Wra Ellados/Discord/Dkp.,Greek/Greeklish,malakas17,2020-10-06 00:00:00,427259
,English,malakas17,2020-10-16 00:00:00,427259
,English,malakas17,2020-10-16 00:00:00,427259
,English,malakas17,2020-10-20 00:00:00,427259
"Καλησπέρα, σε ποιόν να στείλω in game για invite?",Greek/Greeklish,tzikas95,2021-01-03 00:00:00,427259
,English,boonick,2021-02-14 00:00:00,427259
discord? giati in game den vriskw kanenan!,Greek/Greeklish,youpitythefool,2021-02-21 00:00:00,427259
kane upomoni tha vreis,Greek/Greeklish,Xxlarge,2021-02-24 00:00:00,427259
"Στείλτε στον Banoffee#3368 στο discord.
Γενικά δεχόμαστε μόνο άτομα με LoD και RS25HC experience διότι είμαστε end-game guild, σε αντίθεση με τα υπόλοιπα ελληνικα guilds.",Greek/Greeklish,boonick,2021-02-25 00:00:00,427259
Με χαρά σας ανακοινώνουμε ότι το πρώτο ελληνικό 0% buff LoD πραγματοποιήθηκε σήμερα.,Greek/Greeklish,boonick,2021-03-27 00:00:00,427259
To name tis guild aderfe?,Greek/Greeklish,pafin,2021-04-03 00:00:00,427259
K r o b a i n h,Greek/Greeklish,malakas17,2021-04-08 00:00:00,427259
<Essence>-Ellhniko End Game guild-Lod 0% /Rs 25 Hc cleared-Psaxnoume perissoterous Ellhnes gia na synexisoume to ellhniko community.6.2+ Multiple Chars me Icc hc +Rs hc exp.Rt=Pemptes/Savvata 8.30 wra Ellados.,Greek/Greeklish,malakas17,2021-05-10 00:00:00,427259
,English,malakas17,2021-05-12 00:00:00,427259
,English,malakas17,2021-05-16 00:00:00,427259
Yparxei Ellhniko guild(Alliance)? Eimai sxetika kainourgios sto game alla eimai pro8umos na ma8w ! Euxaristw,Greek/Greeklish,krepas,2021-07-10 00:00:00,437896
Yphrxan kapote oi Olympians alla perase kairos pou dialithike twra apla eimaste polloi kai skorpioi.,Greek/Greeklish,tikoitas,2021-09-02 00:00:00,437896
"Οτι λεει και ο τιτλος.

ειμαι απο alliance μερια και realm Icecrown. ειμαι spriest 6κ και στο at 2.4k (για οσους ξερουν) . 
κατα βαση ειναι για παρεα και λιγο χαβαλε . 
ευχαριστω :)",Greek/Greeklish,Year,2020-03-24 00:00:00,415161
"Αν παίζεις ακόμα, addare discord - Bornskilled#1396",Greek/Greeklish,vectorone,2021-08-13 00:00:00,415161
"paizeis katholou arena sto blackrock? an nai steile gia kanena game , paizw mage sto 2.4k+",Greek/Greeklish,burgers13,2021-08-17 00:00:00,415161
"WoW horde guild PvE -Auto Attack-

Ψάχνουμε άτομα για raid Παρασκευή 9:00 10ρια - Σάββατο 9:00 25ρια normals/hc.",Greek/Greeklish,Xxlarge,2018-12-21 00:00:00,395942
aoua aoua aoua,Greek/Greeklish,alkats,2018-12-24 00:00:00,395942
Καλώς τον μούρλοκ,English,Xxlarge,2018-12-24 00:00:00,395942
Are you still recruiting?,Greek/Greeklish,Solidukos,2019-01-23 00:00:00,395942
Ναι ακόμα στον αγώνα! Whisper me in-game για invites ή απο δω,Greek/Greeklish,Xxlarge,2021-01-31 00:00:00,395942
Τι ώρα και μέρα είναι το raid?,Greek/Greeklish,Deadlypwnage,2021-02-04 00:00:00,395942
Ψάχνουμε άτομα για raid Παρασκευή 9:00 10ρια - Σάββατο 9:00 25ρια normals/hc.,Greek/Greeklish,Xxlarge,2021-02-08 00:00:00,395942
Εγω επαιζα πριν καιρο στον icecrown και τωρα ειμαι στον frostmourne...αλλα αν παιξει φαση με ελληνικη guild θα το σκεφτω σοβαρα να παιξω στον icecrown...εχω shaman healer 6.2....feral druid 5.7 kai enan rogue 80 fresh! και αν συνεχισουμε μεχρι τον απριλιο(ποθ θα κλεισει ο frostmourne) θα ερθει και warrior κανα 6k,Greek/Greeklish,youpitythefool,2021-02-13 00:00:00,395942
"Εμείς τώρα κάνουμε το ξεκίνημα μας ουσιαστικά, οπότε ευπρόσδεκτοι όλοι. 

Discord Server: https://discord.gg/YeXsePtcfu
@Bubblethesap in WoW.
@Bubble#9994 on discord.",Greek/Greeklish,Xxlarge,2021-02-13 00:00:00,395942
Δεχεστε ακομα κοσμο?,English,geogreknd666,2021-07-03 00:00:00,395942
"Καλησπέρα,καινούργιος σχετικά στον σέρβερ..
Υπάρχει κάποιο ελληνικό guild στον icecrown/alliance??",Greek/Greeklish,mito221b,2021-04-25 00:00:00,435310
80lvl Beast master Hunter pros to paron  3.5 G.s ..afierwnw xrono ka8imerina !,Greek/Greeklish,MeLviZ,2021-02-20 00:00:00,432839
Padia kalispera !! Tha ithela n kanw mia erwtisi sas parakalw ..uparxei kapoio addon gia hunters pou mporei n mpei se auton to server pou n dixnei locations apo pets ? Gia paradeigma spirit beasts etc. ?,Greek/Greeklish,MeLviZ,2021-02-20 00:00:00,432838
"kalispera psahnw elliniko guild kai genika ellines ston pvp brock,eimai main heal disco pala alla paizw diafora class, alliance i horde dene xw thema opoios thelei pvp as steilei kai an iparxei guild as mas enimerwsei euxaristw",Greek/Greeklish,Dionell,2021-01-20 00:00:00,431660
,English,malakas17,2021-02-10 00:00:00,431660
"Epeza Woltk ston Retail kai hmoun 2.2k player healer (priest-druid) psaxno atoma na lisoume stin arena. Ean uparxei kapoios pou na psinete.
Exo priest me 1850gear kai thelo na pusharo gia 1950",Greek/Greeklish,malakassc,2021-02-03 00:00:00,432233
"LF hpal without brain cancer, who at least have BOP and sacriface on the panel
Discord kolakid11#7692 Aliance Blackrock",Greek/Greeklish,kolakid,2020-11-02 00:00:00,428332
"Exo priest me opla 1,8k rating kai ksero kai poli kalo druiid 2,3k rating sto woltk palia ean sas kanei",Greek/Greeklish,malakassc,2021-01-29 00:00:00,428332
"Καλησπέρα, 
ξεκίνησα στο Warmane μετά από πολλά χρόνια σε άλλον wotlk server. Υπάρχει κάποιο ελληνικό guild έστω και για social φάση;",Greek/Greeklish,pskl,2020-11-08 00:00:00,428616
Είμαι στο Guild Pastards με κυρίως Έλληνες. Στείλε μήνυμα (mail ή whisper) σε Flob για invite.,Greek/Greeklish,Cellular,2020-11-20 00:00:00,428616
paidia exw problima me to na katebasw to client apo tin selida mporei na me boi8isei kapoios? euxaristw,Greek/Greeklish,gouz44,2020-11-06 00:00:00,428559
Psaxnw elliniko guild ston server Icecrown me tous Alliance.,Greek/Greeklish,Saxlamaras,2020-06-12 00:00:00,421765
Psaxnw progression guild gia to Frostmourne.Den exw empeiria sto WOTLK expansion.Paizw mage.Kata protimish Horde.,Greek/Greeklish,synoz,2020-04-15 00:00:00,417128
Psaxno k egw guild ama pextei tipota enimeroste.,Greek/Greeklish,Solert,2020-04-15 00:00:00,417128
"Και εγω ψαχνω HORDE guild παιδια στο FROSTMOURNE , εχω Shaman resto !",Greek/Greeklish,damos,2020-04-24 00:00:00,417128
Παιδες εχουμε κανενα guild h community alliance side με Έλληνες? έχω μερικους alts και θα ηταν ωραια να φτιάχναμε μια  guild οχι με καλους παιχτες να κανουμε 25 icc hc κτλπ? Mythm or Onus in game.,Greek/Greeklish,ulteki,2020-03-10 00:00:00,414333
Δεν είναι ελληνικό (εκτός εμού και ενός ακόμα) αλλά όποιος ψάχνει Έλληνες στέλνει ένα letter σε Valdavin. Επικέντρωση στο PvE.,Greek/Greeklish,Cellular,2020-01-01 00:00:00,411881
Ellhniko Progression Guild,Greek/Greeklish,gotharasss,2019-12-18 00:00:00,411367
Epeza Woltk ston Retail kai hmoun 2.2k player healer (priest-druid) psaxno atoma na lisoume stin arena. Ean uparxei kapoios pou na psinete,Greek/Greeklish,malakassc,2019-10-27 00:00:00,409706
to onoma sou ingame??,Greek/Greeklish,burgers13,2019-10-28 00:00:00,409706
Papadiakos einai to name. Ti class pezeis kai ti exp exeis?,Greek/Greeklish,malakassc,2019-10-28 00:00:00,409706
"s6/7/8 glad retail , 2.3k edw, (priest/mage) steile discord ama einai na boume kana matsaki",Greek/Greeklish,burgers13,2019-10-28 00:00:00,409706
"Thirothan
#5518
kane add :)",Greek/Greeklish,malakassc,2019-10-28 00:00:00,409706
"Καλησπερα.
Οπως αντιλαμβανεσται και απτον τιτλο υπαρχουν προβληματα εγκαταστασης του wow.
Το προβλημα ειναι οτι οταν διαλεγω ενα expansion pack και μετα windows και παταω εγκατασταση,δεν δουλευει.
Παρακαλω πειτε μου πως να το κατεβασω το client.",Greek/Greeklish,Azzazelf,2019-08-27 00:00:00,407587
"ψάχνω για ελληνικό Horde Guild στον server lordaeron 

Όνομα στο Game Totemaniac lvl 28 

Ποιο πολύ κοιτάω για Pve",Greek/Greeklish,Mouxlas,2019-06-06 00:00:00,404440
Βρηκες? Ειμαστε 4 ακομα που θελουμε,English,darxangel,2019-08-24 00:00:00,404440
Paidia uparxei elliniki guild ston icecrown (allience)?,Greek/Greeklish,Nikos3,2019-08-15 00:00:00,407176
Neos ston Server alla hmoun 6.4 gs ws mage ston retail psaxnw guild gia raiding kai mporw na paiksw arketa class gia na prosarmostw sto roster. reply edw h /w Poutaniaris,Greek/Greeklish,loukastoumpa4,2019-07-13 00:00:00,406075
"Paidia psaxnw gia elliniki guild ston icecrown server , uparxei kamia?",Greek/Greeklish,Nikos3,2018-12-05 00:00:00,395212
uparxei h ''puzzymoneyweed,Greek/Greeklish,tsempe,2018-12-19 00:00:00,395212
kapia elliniki guild Horde ston Lordaeron?,Greek/Greeklish,StingWin21,2019-02-28 00:00:00,395212
pezeis lordaeron ? horde? an nai dose skeftome na ksekiniso,Greek/Greeklish,aceofjokergr,2019-03-01 00:00:00,395212
Eimai Lordaeron eimai horde ala epidi irtha apo icecrown eimai low lvl ala an mazeftoume anevenoume oloi mazi.Steile edo name na ta poume ingame..,Greek/Greeklish,StingWin21,2019-03-04 00:00:00,395212
kai egw lordaeron twra tha ksekiniso sto icecrown eexw kai egw alla ton psilo barieme an thes dose in game name na ksana ksekinisoume mazi an thes,Greek/Greeklish,aceofjokergr,2019-03-04 00:00:00,395212
Amnah einai o paladin mou 18 lvl :D,Greek/Greeklish,StingWin21,2019-03-04 00:00:00,395212
vasika an exeis account sto official (Battle.net) kane add ekei na ta leme pio eukola Stingwin#2463,Greek/Greeklish,StingWin21,2019-03-04 00:00:00,395212
exeis discord?,Greek/Greeklish,aceofjokergr,2019-03-04 00:00:00,395212
oxi edo k polu kairo eimaste oloi me to battlenet einai pio eukolo idika tora pou to eftiaksan ..tora eimai mesa me enan druid pou anevazo Verjin an eisai mesa steile wisp.,Greek/Greeklish,StingWin21,2019-03-04 00:00:00,395212
aceofjoker eimai kaneme add rogue,Greek/Greeklish,aceofjokergr,2019-03-05 00:00:00,395212
Μαγκες εχω warrior στον lordaeron πειτε ενα discord.,Greek/Greeklish,Velti,2019-05-27 00:00:00,395212
....deleted.,Greek/Greeklish,Dimitris98dimi,2019-05-25 00:00:00,403786
"Neo elliniko guild stous alliance psaxnei atoma :)
pm ithilween / tamtoula 
https://greekaddicts.wowalliances.co...YlHFT4A709q88U",Greek/Greeklish,Paraskosp,2019-05-18 00:00:00,403435
psaxnw gia guild gia lvl up kai ta sxetika eimai priest 50 lvl /w shilenai,Greek/Greeklish,Shilenai,2019-04-08 00:00:00,401640
κανενας ελληνας να παιζει στο blackrock pvp?,Greek/Greeklish,burgers13,2019-03-28 00:00:00,401117
kanas hordas????gia guild?wisp Smokedeye kai gia alliance wisp Sonver,Greek/Greeklish,sonveroulis,2019-03-15 00:00:00,400493
Υπαρχουν guild Ελληνικες?   Ψαχνω καποια active για να ξεκινησω να παιζω,Greek/Greeklish,Feniol,2019-03-09 00:00:00,400172
aderfe poloi psaxnoun k ego sto psaksimo eimai ala den vgazoume kapia akri tha vreis k guild na psaxnoun kosmo tha mpeis sto game k den tha mporeis na tous vreis online ego exo mia guild apo palia ston server an einai tin anigo giati tin exo gia guild bank k siga siga mazevomaste den vlepo ali lisi..i guild einai Icecrown --> Horde an eisai hordas..,Greek/Greeklish,StingWin21,2019-03-11 00:00:00,400172
"Olympian Heroes ελληνικό guild ψάχνει κόσμο για χαλαρό raiding kai progress.Whisper coolguy, coolguynotwo, holysummoner ingame για περισσότερες πληροφορίες",Greek/Greeklish,trelowarrior,2019-02-25 00:00:00,399453
ela file horde i alliance ?,Greek/Greeklish,aceofjokergr,2019-02-28 00:00:00,399453
alliance file mou,Greek/Greeklish,trelowarrior,2019-03-03 00:00:00,399453
magkes 8elw na mpw alla dn brhskw kapoion on,Greek/Greeklish,dkimb,2019-03-05 00:00:00,399453
geia sas paidia epeidh vlepw pos imaste arketa atoma pou psaxnoume gia allous ellhnes as stilei edw opoios thelie na kanoume mia arxi ston x1 h x7  krima einai na pezoume monoi mas perimeno apantisi :D,Greek/Greeklish,aceofjokergr,2019-03-04 00:00:00,399863
"Καλησπέρα παίδες. Ψάχνω Ελληνικό active raiding guild ( rt 21:00 gr + ) γιατί εδώ, δεν παίζει κάτι καθαρά Ελληνικό ή αν υπάρχει κάπου δεν είναι σοβαρό. Πολλά μικρά guild που δεν ενώνονται με διάσπαρτους raider δεξιά κι αστερά. 
Δεν ξέρω αν υπάρχει dm επιλογή επικοινωνίας, οπότε leave your comment below.",Greek/Greeklish,xAchillesGate4x,2019-03-03 00:00:00,399822
"Καλησπερα σε οσους διαβασουν το ποστ μου αυτο. Ειμαστε γυρω στα 10 ατομα που ξεκινησαμε τον σερβερ πριν 10 ημερες εχοντας 3 ατομα που επαιζαν ηδη καιρο με δυνατο gs και εμπειρια στο παιχνιδι. Αν υπαρχουν ατομα που θελουν να συνεργαστουν με αλλους ελληνες και να φαρμαρουν icc 10 - 25 ενημερωστε με κατω απο αυτο το post η καντε friend ingame Nnastynas στους alliance.

H στην περιπτωση αυτη αν υπαρχει ηδη καποιο αλλο guild που παιζει στο σερβερ στους alliance και ψαχνει για ενεργα μελη που διψανε για το παιχνιδι θα ηθελα παλι να με ενημερωσετε. 



to gs που εχουμε ολοι στο guild μας ειναι 4,8 εως 6,5

Ευχαριστω για το χρονο σας!",Greek/Greeklish,NnastyNas,2019-02-17 00:00:00,398966
"Ελληνικο guild , ψαχνουμε ατομα για runs ICC10/25  και ειμαστε social δεν ζηταμε καποιο συγκεκριμενο gs  αμα ενδιαφερεστε καντε ποστ εδω γιατι δεν θα μας  βρειτε με τοσους alt που εχουμε...",Greek/Greeklish,tsempe,2019-01-13 00:00:00,397082
horde i alliance?,Greek/Greeklish,NnastyNas,2019-02-17 00:00:00,397082
"Ψάχνουμε άτομα στον Icecrown, Alliance πλευρά, προς δημιουργία μιας καθαρά ελληνόφωνης Guild. 

Μέχρι στιγμής είμαστε... 2 άτομα -.-
Δεχόμεθα μέλη όλων των επιπέδων, όλων των ρόλων, όλων των ηλικιών, άντρες γυναίκες.

Ονομασία Guild, προς συζήτηση. Μέχρι στιγμής παίζεται το ""Hellenic Residence"".

Παρακαλούμε, όποιοι ενδιαφέρονται, να απαντήσουν στο thread ή in-game στον παίκτη ""Delahunt"" ο οποίος έχει αναλάβει τα διαδικαστικά!",Greek/Greeklish,Cryosin,2017-02-20 00:00:00,348849
"Kalhspera paidia, exoume elliniko guild ston icecrown san horde edw k 7mhnes....to  Guild legete Guilty as Sin.  Apokleistika elliniko guild,psaxnume atoma gia na enisxusoume to roster mas gia raids.Dexomaste & atoma gia casual drastiriotites.[ICC~12/12n 25man- 11/12hc 10man], [RS~25n - RS 10hc ]gia info steilte  Icecubed/Pavlova/Dabane/Uowm",Greek/Greeklish,F3ars0m3,2017-03-09 00:00:00,348849
thelw na mpw onomazomai Darkdamm..,Greek/Greeklish,assos,2018-01-07 00:00:00,348849
An uparxei akomh h clan.. /w me Greekspirit,Greek/Greeklish,Psyqq,2018-11-18 00:00:00,348849
"paidia k egw endiaferomai , (socialnetwar)",Greek/Greeklish,Nikos3,2018-12-05 00:00:00,348849
yparxei kapoios ellhnas se kapoion server?,Greek/Greeklish,aceofjokergr,2018-08-14 00:00:00,389270
alliance ston icecrown moikanos3,Greek/Greeklish,jasonidis33,2018-08-24 00:00:00,389270
"den se vrisko kane add evvi  .
mou leei den uparxeis",Greek/Greeklish,aceofjokergr,2018-08-28 00:00:00,389270
Bubblethesap Icecrown wotlk horde belf,Greek/Greeklish,Xxlarge,2018-11-06 00:00:00,389270
Greekspirit ~ Horde ~Icecrown,Greek/Greeklish,Psyqq,2018-11-16 00:00:00,389270
Καλησπέρα έχω ενα θεμα αλλαξα υπολογιστή  κατέβασα το wow μπαίνω κανονικά αλλα δεν το θυμάται μετα καθε φορα είναι σαν την πρώτη δεν θυμάται τις παραμετρους μου έβαλα μου και ζητάει να διαβάσω και να αποδεχτώ τους όρους ξανά τι φταίει?,Greek/Greeklish,annastas,2018-02-18 00:00:00,378876
"Καλησπερα θα πας στις ιδιότητες (properties) στο section general εξω στο φάκελο του WOW και θα checkareis το Read-only και θα πατησεις το οκ. Οχι στο exe.WoW αλλά στο φάκελο που έχει όλα τα αρχεία μεσα. 
-Bubblethesap Icecrown Horde",Greek/Greeklish,Xxlarge,2018-11-06 00:00:00,378876
"Οι <Olympians> είναι το μεγαλύτερο καθαρά ελληνικό Guild του Lordaeron. Δημιουργήθηκε πριν από 2 περίπου χρόνια στο ξεκίνημα του Realm, και αποτελείται από άτομα που ενδιαφέρονται και για PvE και για PvP.  Δεχόμαστε όλους τους παίκτες ανεξαρτήτου level ή εμπειρίας και ιδιαίτερα αναζητούμε άτομα για να μας βοηθήσουν στο επερχόμενο Icecrown Citadel Patch και να συμπληρώσουμε το roster στo 25m Setup. Καθημερινά στο Guild υπάρχουν πάνω από 25 άτομα online.

Το PvE progress της Guild :

ToC 10m / 25m 5/5 Clear 
ToGC10  4/5: 

UPDATE

2 Groups για ICC 10 και ένα σε ICC25 προς το παρών με το progress μας στις πρώτες 3 βδομάδες να ειναι το εξής:

2 x ICC10 10/12

1 x ICC25 6/12

Για τη διανομή του Loot χρησιμοποιούμε το Loot Council και το πρόγραμμα των Raid είναι το εξής:

Τετάρτη:18.00-22.00 ώρα Ελλάδος
Πέμπτη:18.00-22.00 ώρα Ελλάδος
Σάββατο:20.00-23.00 ώρα Ελλάδος
Κυριακή:20.00-23.00 ώρα Ελλάδος

Σε κάθε περίπτωση αν ενδιαφέρεται κανείς να μπει στην παρέα μας, ας γράψει κάτω από αυτό το Post, ή ας επικοινωνήσει με κάποιον από τους παρακάτω:

Kahlin
Mippzy
Asidirop
Mistogun
Yopapa
Persephoni
Forebni",Greek/Greeklish,Draculation,2017-03-20 00:00:00,350071
Bump 10/12 icc10 !,Greek/Greeklish,Draculation,2017-04-16 00:00:00,350071
Bump! ICC25 6/12,Greek/Greeklish,Draculation,2017-05-07 00:00:00,350071
"Bump! ICC 25 9/12, ICC 10 11/12.",Greek/Greeklish,pOurion,2017-06-28 00:00:00,350071
"RIP , to guild einai pleon Social.",Greek/Greeklish,pOurion,2017-10-19 00:00:00,350071
Yparxei akoma to guild?,Greek/Greeklish,dominokid,2018-10-12 00:00:00,350071
se poio server paizeis?,Greek/Greeklish,aceofjokergr,2018-10-17 00:00:00,350071
